Company Name,Job Summary,Job Title,Location,Salary
NBCUniversal,Analyze and interpret ratings data across the Telemundo Station Group to support our sales organization....,"Research Analyst, Telemundo Owned Television Stations",New York,L
General Assembly,"Our Data Science Immersive course is a brand-new, life-changing educational experience where students leave with the skills and mindsets to take on new careers...",Data Science Instructor Lead,New York,L
Digital Reasoning,Data Scientists at Digital Reasoning are versatile utility players who create amazing customer experiences with data and increase customer appetites for...,Data Scientist-Business Development,New York,L
General Assembly,"Data visualization techniques; Data Science Instructor Overview. Manipulation of large data sets; You are eager to shape the skills, minds, and trajectories of...",Part Time Data Science Instructor,New York,L
Quantitative Brokers,We are looking for quantitative analysts with a strong passion for financial data exploration and analysis to join our company. Skills and background....,Quantitative Analyst,New York,L
JPMorgan Chase,"1,000,000 data points and more). Experience working with big data (e.g. Synthesize large amounts of information and data quickly....",J.P. Morgan Chase Institute Markets Research Analyst - New Y...,New York,L
Hospital for Special Surgery,The Clinical Research Coverage Analyst (CRCA) is an integral member of the Clinical Research Administration team at Hospital for Special Surgery in New York,Clinical Research Coverage Analyst,New York,L
Weill Cornell Medical College,"When necessary de-identify data and transmit to collaborating CROs. The Advanced Imaging Data Analyst, utilizes independent judgment in prioritizing and...",Advanced Imaging Data Analyst,New York,L
Amazon Corporate LLC,"5+ years in relevant experience as data scientist, software engineer, business intelligence engineer, or equivalent....",Data Engineer,New York,L
Mount Sinai Health System,"Assists in the collection, analysis and review of experimental data for publication and presentation....",ASSOCIATE RESEARCHER I - Neurology - MSH,New York,L
Corvil,"Assess client data sources and perform mapping of data elements into data schemas. Identify and document data sources, data elements and logic to enable...",Solutions Analyst,New York,L
New York Stem Cell Foundation,"Analyze data via commercial data analysis packages and communicate those results in a team environment. We are a vibrant, growing organization that advances...",Laboratory Automation Engineer,New York,L
Mount Sinai Health System,"To gather, store, manipulate and analyzes research data. Projects by delivering bioinformatics services for bio-medical data from....",Bioinformatician I - Pharmacology & Systems Therapeutics,New York,L
Innovations for Poverty Action,"Analyzing public and internal documents, data, and other information on the organization’s use and production of evidence....",Research Analyst - ImpactMatters,New York,L
NYU Langone Medical Center,"Effectively uses a range of interview techniques (open-ended or directed questions, scripted responses to questions & objections, written forms, review of...",Senior Admitting Associate (Part-Time),New York,L
BNY Mellon,Must be able to analyze data and extrapolate trends within the data in order to create meaningful reports and case studies for Senior Management and internal...,Product Research Analyst - Dreyfus,New York,L
ektello,Research Analyst Opportunity with major brand! Have you ever wanted to work for a major brand in New York city? If so and your background is in Advertising,Research Analyst,New York,L
Mount Sinai Health System,The Ginzburg laboratory is a team of scientists and student scientists with deep interest in understanding the crosstalk between erythropoiesis and iron...,POSTDOCTORAL FELLOW,New York,L
Meetup,The chance to work with large amounts of data and make a real difference. Collaborate with product and design to leverage data and algorithms to help people...,Sr. Machine Learning Engineer,New York,L
Celmatix,"Knowledge in data mining, machine learning, statistical learning, large scale data processing, or information retrieval is preferred....",Senior Data Engineer,New York,L
GinasTechJobs.com,Experience working with large data sets. Seeking world-class Researchers and Engineers who are obsessive about data analysis and the pursuit of its greatest...,Quantitative Analyst,New York,L
Bloomberg,"Our team is made up of data scientists and software engineers. A solid understanding of data structures, algorithms, and object-oriented design concepts....",Software Engineer - Machine Learning,New York,L
"Business Insider, Inc.","Proficiency with excel, data, and charts. We’re hiring a Senior Research Analyst to join our growing team at Business Insider Intelligence....",Senior Research Analyst,New York,L
"Vanasse Hangen Brustlin, Inc.","Traffic data collection and tabulation. VHB’s passionate professionals include engineers, scientists, planners, and designers who partner with public and...",Traffic Engineer,New York,L
JPMorgan Chase,"Data Analysis and Reporting. To collaborate with other data analysts/systems. You will partner with campaign managers, data scientists, vendors and internal...",Programmatic and Paid Media Marketing Analytics Manager - VP,New York,L
Workbridge Associates,"Data, Analytics, Scientist, Science, Python, R, SAS, SQL, Hadoop, Tableau, Analysis, Healthcare, Hospital, University, Career, Job, Chicago, IL,....",Mid-Level Data Scientist,Chicago,L
Etech Hi Inc.,Create annual/quarterly reports to monitor data quality and provide descriptive reports on datasets. Provide statistical consulting for the development and...,Statistician,Chicago,L
Mintel,"Research, data, financial services, analyst, Excel, reporting, PowerPoint. The successful candidate will be able to check, produce, and deliver reports using...",Research Analyst,Chicago,L
Etech Hi Inc.,"Experience with medical or clinical data is a plus. Oversee all program analytics including risk adjusted benchmark reports, external data validation,...",Sr. Statistician,Chicago,L
Erikson Institute,"Maintain well-organized data files; Download, enter, and clean data; Participate in developing data analysis plans;...",Research Analyst,Chicago,L
Chicago Cubs,"Analytics, data, big data, analytical, analytic, data scientist. Intermediate to advanced programming skills enabling the individual to extract and manipulate...","Assistant Director, Advanced Analytics",Chicago,L
National General Insurance,"Strong analytical skills, especially in predictive modeling and data mining techniques. National General Insurance is looking for insurance professionals to...",Senior Predictive Modeling Analyst,Chicago,L
Insperity,We have developed a proprietary method for analyzing healthcare claims data that is used by multiple stakeholders in the industry....,Researcher Statistician / R Developer-Remote,Chicago,L
The Boston Consulting Group,"Geospatial Analytics Specialists together with Data Engineers, Data Scientists, Scientific Modelers and Programmers as well Data Visualization Specialists are...",Analytics Manager - GeoAnalytics,Chicago,L
The Nielsen Company,"Work with Data Scientists to automate and implement advanced analytical models. Data Warehousing, ETL & BI tools....",Big Data / Cloud Engineer,Chicago,L
"Technomic, Inc.",Provides editorial content and data analysis. Compiles data on client-specific projects using multiple databases and resources....,Research Analyst (Mixed Methods),Chicago,L
National Opinion Research Center (NORC),Developing instrumentation for quantitative or qualitative data collection. Planning and conducting a wide range of data collection activities....,Senior Research Analyst - Health Care,Chicago,L
Cognizant,"In addition, the Data Scientist must be able to access data from disparate systems, link, cleanse and integrate data, and create data sets to answer specific...",Data Scientist – People Analytics,Chicago,L
General Dynamics - Information Technology,Plans data collection; Adjusts and weighs raw data; And interprets a wide variety of survey data. And analyzes and interprets statistical data from surveys;...,Principal Statistician,Chicago,L
University of Chicago,"Beamline Scientist (Junior):. Transcribing and coding data; Collects, records and analyzes data. The University of Chicago Center for Advanced Radiation Sources...",Beamline Scientist (Junior),Chicago,L
Northwestern University,"Ensures data integrity. This includes database administration, data consolidation, data analysis and management reporting....",Statistical Analyst,Chicago,L
T3 Trading Group LLC,Statistical Pairs Trading and Convergence Position We are currently hiring proprietary traders for our selective Pairs Trading Group. The pair trade or pairs,Statistical Pairs Trading Position,Chicago,L
Gallup,"Gallup data scientists help clients effectively use data to make better decisions. Experience merging and analyzing large, diverse data sources — especially...",Data Scientist – Predictive Analytics,Chicago,L
CNO Financial Group,They will support the development of marketing strategies by providing analytical customer insights including developing and refining customer segmentations.Key...,Marketing Statistician,Chicago,L
The Nielsen Company,Analyze and manipulate data in order to develop actionable insights from neurological studies. 0-3 years of work experience with data analysis and project...,Research Analyst- Consumer Neuroscience,Chicago,L
Kemper Corporation,Document data sources and definitions and ensure data accuracy. In this role your expertise will assist the Kemper team at making data driven decisions:....,Associate Data Scientist,Chicago,L
